"filename", "language", "Python", "JSON", "comment", "blank", "total"
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\AI\NextTileFinder.py", "Python", 129, 0, 18, 33, 180
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\AI\floodFill.py", "Python", 23, 0, 0, 8, 31
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\ActionEditor.py", "Python", 23, 0, 0, 9, 32
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Data\Constant.py", "Python", 8, 0, 4, 9, 21
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Data\Global.py", "Python", 5, 0, 0, 3, 8
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Data\TileType.py", "Python", 25, 0, 0, 6, 31
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Deformed_map_reader.py", "Python", 115, 0, 9, 32, 156
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Grid.py", "Python", 16, 0, 1, 8, 25
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\GruesomeMapMaker.py", "Python", 600, 0, 74, 173, 847
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Images\test.py", "Python", 16, 0, 4, 2, 22
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\MyEncoder.py", "Python", 59, 0, 10, 16, 85
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\Tiles.py", "Python", 101, 0, 3, 25, 129
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\Button.py", "Python", 54, 0, 7, 18, 79
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\Button_Function.py", "Python", 26, 0, 5, 8, 39
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\Explorer.py", "Python", 31, 0, 1, 15, 47
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\ScrollArea.py", "Python", 38, 0, 3, 8, 49
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\Textbox.py", "Python", 36, 0, 0, 5, 41
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\UI\UIManager.py", "Python", 250, 0, 27, 64, 341
"j:\PythonProg\Pygame\GrotesqueEngine\GruesomeMapEditor\test.json", "JSON", 0, 111, 0, 0, 111
"Total", "-", 1555, 111, 166, 442, 2274
